GENDER,AGE,WHEN_OPEN_YOUR_FIRST_ID,HOW_MUCH_TIME_YOU_SPEND_ON_SOCIAL_MEDIA_EVERYDAY,DO_YOU_HAVE_STATUS_UPDATE_ANXIETY,DO_YOU_HAVE_MAKE_NEW_FRIENDS,DO_YOU_HAVE_EXCESSIVE_TIME,DO_YOU_THINK_REAL_LIFE_AND_SOCIAL_MEDIA_LIFE_ARE_SAME,DO_YOU_THINK_SOCIAL_MEDIA_ENCOURAGE_YOU_TO_USE_IT,DO_YOU_LIKE_TO_SHARE_YOUR_PERSONAL_LIFE_WITH_OTHERS,DO_YOU_CHECK_SOCIAL_MEDIA_WHEN_IT_POSSIBLE,DO_YOU_LIKE_TO_SHARE_YOUR_IMAGE_TO_OTHERS_BY_FACEBOOK,DO_YOU_SPENDING_HOURS_BROWSING_THROUGH_FACEBOOK_EVERYDAY,DO_YOU_INFLUENCED_MORE_FRIENDS,DO_YOU_EVER_VIRTUALLY_DATE,DO_YOU_HAVE_ONE_OR_MORE_FACK_ID,DO_YOU_FEEL_ADDICATED_TO_SOCIAL_MEDIA,FACEBOOK_POST_CAN_CHANGE_YOUR_MOOD,DO_YOU_THINK_FACEBOOK_CAN_MAKE_YOUR_CONTRACT_WITH_FAMILY_IN_EASIEST,DO_YOU_FEEL_A_PART_OF_AN_EXPANSIVE_EXCITING_WORLD_BY_USING_FACEBOOK,DO_YOU_PLAY_ONLINE_GAME_BY_FACEBOOK,ARE_YOU_FOODIE_AND_VISIT_FOOD_RELATED_PAGE_GROUP_ON_FACEBBOK,DO_YOU_SHARE_YOUR_POLITICAL_AND_RELIGIOUS_VIEWS_ON_FACEBOOK,DO_YOU_FEEL_URGE_TO_USE_FACEBOOK_MORE_TO_MORE,DO_YOU_FORGET_YOUR_PERSONAL_PROBLEM_WHEN_YOU_BROWSING_FACEBOOK,Addicted
MALE,23,2015,4,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,1
MALE,24,2013,2,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,1
MALE,29,2010,2,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,0
MALE,24,2014,8,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1
FEMALE,22,2018,5,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,1
MALE,24,2012,4,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,1
MALE,23,2014,0.5,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
FEMALE,33,2015,4,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,1
MALE,24,2013,2,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,1
MALE,25,2014,1,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,0
FEMALE,23,2015,8,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,1
MALE,25,2014,1,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,0
FEMALE,23,2015,8,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,1
FEMALE,23,2014,7,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,1
MALE,29,2010,2,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,0
MALE,24,2014,8,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1
FEMALE,22,2018,5,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,1
MALE,24,2012,4,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,1
MALE,23,2014,1,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
MALE,33,2015,4,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,1
MALE,24,2013,2,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,1
MALE,25,2014,1,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,0
FEMALE,28,2015,7,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,1
FEMALE,23,2014,7,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,1
MALE,29,2010,3,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,0
MALE,24,2014,8,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1
FEMALE,22,2018,5,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,1
MALE,34,2012,4,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,1
MALE,23,2014,1,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
FEMALE,44,2015,4,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,0
MALE,24,2013,2,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,1
MALE,25,2014,1,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,0
FEMALE,23,2015,8,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,1
FEMALE,23,2014,7,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,1
MALE,29,2010,2,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,0
MALE,24,2014,3,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1
FEMALE,22,2018,5,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,1
MALE,24,2012,4,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,1
MALE,23,2014,1,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
MALE,23,2015,4,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,1
MALE,24,2013,2,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,1
MALE,35,2014,1,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,0
FEMALE,23,2015,7,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,1
FEMALE,23,2014,7,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,1
MALE,29,2010,2,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,0
MALE,24,2014,8,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1
FEMALE,22,2018,5,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,1
MALE,24,2012,4,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,1
FEMALE,33,2014,0.5,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
MALE,23,2015,4,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,1
MALE,24,2013,2,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,1
MALE,25,2014,1,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,0
FEMALE,23,2015,8,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,1
FEMALE,23,2014,7,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,1
MALE,29,2010,2,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,0
MALE,24,2014,8,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1
FEMALE,22,2018,5,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,1
MALE,24,2012,4,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,1
MALE,53,2014,1,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
MALE,23,2015,4,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,1
MALE,44,2013,2,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,1
MALE,25,2014,1,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,0
FEMALE,23,2015,8,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,1
FEMALE,23,2014,7,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,1
MALE,29,2010,2,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,0
MALE,24,2014,8,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1
FEMALE,22,2018,6,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,1
MALE,24,2012,4,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,1
MALE,23,2014,0.5,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
FEMALE,33,2015,4,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,1
MALE,24,2013,2,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,1
MALE,25,2014,1,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,0
FEMALE,23,2015,8,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,1
FEMALE,23,2014,7,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,1
MALE,29,2010,2,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,0
MALE,24,2014,8,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1
FEMALE,22,2018,5,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,1
MALE,24,2012,4,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,1
MALE,23,2014,0.5,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
MALE,23,2015,4,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,1
MALE,28,2013,2,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,1
MALE,25,2014,1,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,0
FEMALE,23,2015,8,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,1
FEMALE,23,2014,7,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,1
MALE,29,2010,2,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,0
MALE,24,2014,8,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1
FEMALE,22,2018,5,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,1
MALE,24,2012,4,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,1
MALE,23,2014,0.5,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
MALE,23,2015,4,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,1
MALE,24,2013,2,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,1
MALE,25,2014,1,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,0
FEMALE,23,2015,8,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,1
FEMALE,23,2014,7,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,1
MALE,29,2010,2,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,0
MALE,24,2014,8,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1
FEMALE,22,2018,5,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,1
MALE,24,2012,4,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,1
MALE,23,2014,0.5,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
MALE,33,2015,4,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,1
MALE,24,2013,2,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,1
MALE,25,2014,1,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,0
FEMALE,23,2015,8,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,1
FEMALE,23,2014,7,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,1
MALE,29,2010,2,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,0
MALE,34,2014,8,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1
FEMALE,22,2018,5,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,1
MALE,24,2012,4,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,1
MALE,23,2014,0.5,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
MALE,23,2015,4,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,1
MALE,24,2013,2,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,1
MALE,25,2014,1,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,0
FEMALE,23,2015,8,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,1
FEMALE,23,2014,7,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,1
MALE,29,2010,2,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,0
MALE,24,2014,8,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1
MALE,22,2018,5,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,1
MALE,24,2012,4,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,1
MALE,44,2014,0.5,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
MALE,23,2015,4,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,1
MALE,24,2013,2,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,1
MALE,25,2014,1,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,0
FEMALE,23,2015,8,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,1
FEMALE,23,2014,7,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,1
MALE,29,2010,2,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,0
MALE,24,2014,8,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1
FEMALE,32,2018,5,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,1
MALE,24,2012,4,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,1
MALE,23,2014,0.5,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0
MALE,23,2015,4,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,1
MALE,24,2013,2,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,1
MALE,25,2014,1,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,0
FEMALE,23,2015,8,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,YES,1
FEMALE,23,2014,7,YES,NO,YES,NO,YES,NO,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,1
MALE,29,2010,2,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,0
MALE,24,2014,8,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1
FEMALE,22,2018,5,YES,YES,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,NO,1
MALE,24,2012,4,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,1
